DayOfWeek,Date,PdDistrict
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Friday,01/31/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Thursday,01/30/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Wednesday,01/29/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Tuesday,01/28/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Monday,01/27/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Sunday,01/26/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Saturday,01/25/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
Friday,01/24/2014,TENDERLOIN
