navn,rating
slikkepinden,3.55555555556
levin,2.0
1001,1.88333333333
sodavand,1.83333333333
nara,1.83333333333
silas,1.8125
active,1.8125
pleje-enheden,1.75
beirut,1.75
bazaren,1.75
slikhuset,1.7
bræddehytten,1.66666666667
kingo,1.66666666667
slikboden,1.66666666667
great,1.625
ramme,1.625
yoghurt,1.58333333333
cherry,1.5625
chuck,1.5625
slik,1.55864197531
rajissimo,1.54166666667
khan,1.52777777778
salam,1.5
stenhusbakken,1.5
mango,1.5
xie,1.5
mermaid,1.5
pizza/,1.5
worldwide,1.5
slikland,1.48958333333
candy,1.48363095238
blÅ,1.47727272727
delicious,1.46666666667
marketing,1.46428571429
v/ahmet,1.45833333333
yrsa,1.45833333333
pitstop,1.44791666667
grosse,1.44444444444
zwei,1.44444444444
ltd,1.4375
spicy,1.4375
dominos,1.43055555556
v/mohamed,1.42857142857
noodle,1.42857142857
bazar,1.42738095238
2013,1.42361111111
tvis,1.41666666667
miga,1.41666666667
nava,1.4
amstrup,1.4
